# EDGA: state=0 mode=genetic completeness=0.9900075036 n_det=11857 gen=27
  -0.012829037114679  3244141114  |1 2 3 5 9  |0 2 3 5 9 
   0.012260502027426  4142314114  |0 2 3 6 9  |0 2 4 6 9 
  -0.012260490626403  4143214114  |0 2 4 6 9  |0 2 3 6 9 
   0.012260465119294  2341441141  |0 2 4 5 8  |1 2 4 5 8 
  -0.012260455998433  3241441141  |1 2 4 5 8  |0 2 4 5 8 
  -0.012231419063229  4141414231  |0 2 4 6 7  |0 2 4 6 8 
   0.012231415223012  4141414321  |0 2 4 6 8  |0 2 4 6 7 
  -0.012231412339057  4141412341  |0 2 4 6 8  |0 2 4 7 8 
   0.012231404973164  4141413241  |0 2 4 7 8  |0 2 4 6 8 
  -0.012065643648762  4414111423  |0 1 3 7 8  |0 1 3 7 9 
   0.012065636756310  4414111432  |0 1 3 7 9  |0 1 3 7 8 
   0.012065626813519  1414423411  |1 3 4 5 7  |1 3 4 6 7 
  -0.012065620349205  1414432411  |1 3 4 6 7  |1 3 4 5 7 
  -0.011884855009237  4423311232  |0 1 2 7 9  |0 1 3 4 8 
   0.011884802312653  4432211323  |0 1 3 4 8  |0 1 2 7 9 
   0.011884703255116  2234432311  |0 1 3 4 6  |2 3 4 5 7 
  -0.011884681849900  3324423211  |2 3 4 5 7  |0 1 3 4 6 
   0.011880390418476  1423441141  |1 2 4 5 8  |1 3 4 5 8 
